,年月日,平均気温(℃),降水量の合計(mm),平均現地気圧(hPa),平均湿度(％)
1,2015/7/1,20.5,13.5,992.2,98.0
2,2015/7/2,22.5,2.5,999.1,91.0
3,2015/7/3,21.9,67.5,1003.1,99.0
4,2015/7/4,22.5,4.0,1005.7,96.0
5,2015/7/5,20.1,20.0,1008.6,96.0
6,2015/7/6,19.8,14.5,1010.1,97.0
7,2015/7/7,21.3,0.0,1010.6,91.0
8,2015/7/8,22.4,11.0,1012.1,93.0
9,2015/7/9,19.4,11.0,1013.7,97.0
10,2015/7/10,23.2,0.5,1012.3,80.0
11,2015/7/11,25.9,0.0,1009.8,76.0
12,2015/7/12,27.2,0.0,1006.9,74.0
13,2015/7/13,29.4,0.0,1003.5,67.0
14,2015/7/14,29.9,0.0,1002.8,61.0
15,2015/7/15,28.4,0.0,1005.6,65.0
16,2015/7/16,26.4,63.5,1004.5,90.0
17,2015/7/17,26.7,14.5,1005.1,83.0
18,2015/7/18,27.2,0.5,1006.7,77.0
19,2015/7/19,29.4,0.0,1009.1,69.0
20,2015/7/20,28.8,0.0,1010.6,75.0
21,2015/7/21,29.4,0.0,1009.3,65.0
22,2015/7/22,28.9,0.0,1008.6,61.0
23,2015/7/23,27.0,4.5,1006.9,80.0
24,2015/7/24,28.1,7.0,1007.2,83.0
25,2015/7/25,28.6,0.0,1006.5,80.0
26,2015/7/26,30.3,0.0,1007.3,72.0
27,2015/7/27,30.4,0.0,1004.4,69.0
28,2015/7/28,29.6,0.0,1003.1,72.0
29,2015/7/29,29.4,0.0,1004.8,70.0
30,2015/7/30,29.1,0.0,1006.0,75.0
31,2015/7/31,30.0,0.0,1006.7,72.0
32,2015/8/1,30.5,0.0,1007.6,76.0
33,2015/8/2,30.2,0.0,1009.2,71.0
34,2015/8/3,29.8,0.0,1008.7,69.0
35,2015/8/4,30.0,0.0,1007.4,69.0
36,2015/8/5,30.2,0.0,1007.4,69.0
37,2015/8/6,30.9,0.0,1009.8,68.0
38,2015/8/7,31.5,0.0,1011.6,61.0
39,2015/8/8,27.6,0.0,1011.6,71.0
40,2015/8/9,27.9,0.0,1008.4,68.0
41,2015/8/10,27.9,1.0,1006.0,79.0
42,2015/8/11,29.4,0.0,1003.1,70.0
43,2015/8/12,28.9,0.0,1002.5,73.0
44,2015/8/13,27.5,1.0,1000.4,82.0
45,2015/8/14,26.9,2.0,1000.6,84.0
46,2015/8/15,27.7,0.0,1004.8,76.0
47,2015/8/16,27.8,8.0,1006.7,77.0
48,2015/8/17,25.7,33.5,1005.5,96.0
49,2015/8/18,28.2,0.0,1005.3,76.0
50,2015/8/19,27.8,0.0,1009.7,70.0
51,2015/8/20,25.6,8.0,1007.9,92.0
52,2015/8/21,26.0,2.5,1003.8,88.0
53,2015/8/22,28.3,0.0,999.0,80.0
54,2015/8/23,26.7,0.0,1001.6,75.0
55,2015/8/24,24.3,0.0,1005.3,67.0
56,2015/8/25,21.5,0.5,1008.7,68.0
57,2015/8/26,19.5,35.5,1004.9,99.0
58,2015/8/27,23.6,0.0,1006.5,81.0
59,2015/8/28,21.7,3.0,1009.7,84.0
60,2015/8/29,20.0,2.5,1010.1,98.0
61,2015/8/30,21.2,3.5,1009.8,96.0
62,2015/8/31,22.1,2.5,1012.0,94.0
63,2015/9/1,23.7,12.0,1011.7,96.0
64,2015/9/2,26.9,5.5,1007.4,82.0
65,2015/9/3,25.7,1.5,1008.7,78.0
66,2015/9/4,24.7,14.0,1004.9,88.0
67,2015/9/5,25.4,0.0,1008.0,70.0
68,2015/9/6,23.8,46.5,1005.0,88.0
69,2015/9/7,23.0,19.0,1003.6,98.0
70,2015/9/8,20.0,65.5,1009.7,100.0
71,2015/9/9,22.4,156.5,1005.5,99.0
72,2015/9/10,21.8,50.0,1004.6,99.0
73,2015/9/11,23.9,0.0,1001.8,79.0
74,2015/9/12,24.7,0.0,1006.5,75.0
75,2015/9/13,24.4,0.0,1008.8,76.0
76,2015/9/14,22.9,0.0,1016.8,69.0
77,2015/9/15,22.3,0.0,1018.1,66.0
78,2015/9/16,21.1,4.0,1017.2,74.0
79,2015/9/17,17.9,74.5,1013.3,98.0
80,2015/9/18,20.6,5.5,1007.8,96.0
81,2015/9/19,24.1,0.0,1004.5,73.0
82,2015/9/20,23.3,0.0,1006.6,59.0
83,2015/9/21,22.7,0.0,1010.5,68.0
84,2015/9/22,23.0,0.0,1014.7,62.0
85,2015/9/23,22.4,0.0,1014.0,60.0
86,2015/9/24,20.4,1.0,1009.9,83.0
87,2015/9/25,17.7,43.0,1004.8,98.0
88,2015/9/26,20.5,5.0,1006.4,91.0
89,2015/9/27,21.4,0.0,1009.0,91.0
90,2015/9/28,23.3,0.0,1012.4,73.0
91,2015/9/29,22.7,0.0,1015.7,43.0
92,2015/9/30,20.9,0.0,1018.8,43.0
