,年月日,平均気温(℃),降水量の合計(mm),平均現地気圧(hPa),平均湿度(％)
1,2015/1/1,3.7,0.0,1000.4,41.0
2,2015/1/2,2.7,0.0,1007.4,41.0
3,2015/1/3,3.8,0.0,1012.0,42.0
4,2015/1/4,4.0,0.0,1010.4,51.0
5,2015/1/5,6.9,0.0,1014.6,56.0
6,2015/1/6,10.8,6.5,1000.6,64.0
7,2015/1/7,5.6,0.0,1000.5,35.0
8,2015/1/8,6.2,0.0,1006.2,33.0
9,2015/1/9,6.7,0.0,1008.2,31.0
10,2015/1/10,6.3,0.0,1008.8,31.0
11,2015/1/11,6.4,0.0,1008.7,46.0
12,2015/1/12,5.2,0.0,1016.3,39.0
13,2015/1/13,6.6,0.0,1024.9,38.0
14,2015/1/14,6.6,0.0,1023.9,50.0
15,2015/1/15,5.4,35.5,1009.7,76.0
16,2015/1/16,8.9,0.0,1009.7,54.0
17,2015/1/17,5.9,0.0,1004.9,56.0
18,2015/1/18,4.7,0.0,1014.6,36.0
19,2015/1/19,5.7,0.0,1008.8,44.0
20,2015/1/20,6.3,0.0,1018.9,42.0
21,2015/1/21,2.5,4.0,1024.3,69.0
22,2015/1/22,4.6,7.5,1009.0,91.0
23,2015/1/23,6.9,7.5,1004.1,63.0
24,2015/1/24,4.9,0.0,1018.3,47.0
25,2015/1/25,7.0,0.0,1024.3,59.0
26,2015/1/26,9.0,0.5,1019.1,74.0
27,2015/1/27,9.8,14.5,1007.0,71.0
28,2015/1/28,5.2,0.0,1014.7,41.0
29,2015/1/29,3.9,0.0,1023.4,42.0
30,2015/1/30,2.2,16.5,1013.9,88.0
31,2015/1/31,4.9,0.0,1008.8,56.0
32,2015/2/1,4.0,0.0,1016.5,32.0
33,2015/2/2,4.7,0.0,1018.8,34.0
34,2015/2/3,4.7,0.0,1019.2,42.0
35,2015/2/4,5.2,0.0,1017.2,49.0
36,2015/2/5,2.6,9.0,1011.0,87.0
37,2015/2/6,5.4,0.0,1013.4,60.0
38,2015/2/7,5.3,1.5,1019.2,60.0
39,2015/2/8,4.0,6.0,1007.4,87.0
40,2015/2/9,2.0,0.0,1007.3,49.0
41,2015/2/10,3.2,0.0,1008.3,49.0
42,2015/2/11,5.6,0.0,1009.1,54.0
43,2015/2/12,7.0,0.0,1001.6,56.0
