ダウンロードした時刻：2017/09/01 15:53:18

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa),平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2016/4/1,12.8,8,1,2.5,0,8,1,1017.9,8,1,63,8,1
2016/4/2,10.5,8,1,1.5,0,8,1,1023.5,8,1,68,8,1
2016/4/3,13.1,8,1,4.0,0,8,1,1020.2,8,1,90,8,1
2016/4/4,15.6,8,1,8.0,0,8,1,1005.0,8,1,87,8,1
2016/4/5,10.8,8,1,1.5,0,8,1,1011.3,8,1,75,8,1
2016/4/6,14.6,8,1,0,1,8,1,1016.0,8,1,62,8,1
2016/4/7,13.8,8,1,33.0,0,8,1,1007.5,8,1,93,8,1
2016/4/8,16.1,8,1,0,1,8,1,1005.8,8,1,66,8,1
2016/4/9,17.1,8,1,0,1,8,1,1010.9,8,1,62,8,1
2016/4/10,17.2,8,1,0,1,8,1,1006.4,8,1,63,8,1
2016/4/11,11.6,8,1,0.0,0,8,1,1009.1,8,1,49,8,1
2016/4/12,10.5,8,1,0,1,8,1,1019.8,8,1,44,8,1
2016/4/13,14.4,8,1,1.5,0,8,1,1014.1,8,1,77,8,1
2016/4/14,15.0,8,1,20.0,0,8,1,1002.5,8,1,96,8,1
2016/4/15,16.3,8,1,0,1,8,1,1010.3,8,1,31,8,1
2016/4/16,15.8,8,1,0,1,8,1,1018.6,8,1,45,8,1
2016/4/17,19.2,8,1,6.0,0,8,1,1005.3,8,1,74,8,1
2016/4/18,18.9,8,1,0.5,0,8,1,1004.9,8,1,64,8,1
2016/4/19,16.2,8,1,0.0,0,8,1,1013.6,8,1,57,8,1
2016/4/20,14.9,8,1,0,1,8,1,1021.4,8,1,55,8,1
2016/4/21,16.5,8,1,6.0,0,8,1,1012.1,8,1,76,8,1
2016/4/22,17.3,8,1,0.0,0,8,1,1003.2,8,1,75,8,1
2016/4/23,17.9,8,1,0.0,0,8,1,1008.3,8,1,73,8,1
2016/4/24,15.7,8,1,13.5,0,8,1,1010.5,8,1,69,8,1
2016/4/25,18.1,8,1,0,1,8,1,1016.5,8,1,55,8,1
2016/4/26,19.2,8,1,0,1,8,1,1014.0,8,1,66,8,1
2016/4/27,18.1,8,1,0.0,0,8,1,1010.2,8,1,76,8,1
2016/4/28,14.4,8,1,22.0,0,8,1,997.1,8,1,99,8,1
2016/4/29,15.8,8,1,0.0,0,8,1,997.5,8,1,45,8,1
2016/4/30,16.0,8,1,0,1,8,1,1008.9,8,1,48,8,1
2016/5/1,18.2,8,1,0,1,8,1,1009.9,8,1,62,8,1
2016/5/2,17.4,8,1,0,1,8,1,1017.8,8,1,73,8,1
2016/5/3,20.4,8,1,0,1,8,1,1014.2,8,1,73,8,1
2016/5/4,22.1,8,1,13.5,0,8,1,1000.7,8,1,55,8,1
2016/5/5,22.1,8,1,0,1,8,1,1006.8,8,1,37,8,1
2016/5/6,18.1,8,1,2.5,0,8,1,1014.0,8,1,65,8,1
2016/5/7,21.2,8,1,0.0,0,8,1,1003.9,8,1,61,8,1
2016/5/8,21.3,8,1,0,1,8,1,1012.9,8,1,40,8,1
2016/5/9,18.5,8,1,19.0,0,8,1,1014.1,8,1,80,8,1
2016/5/10,18.4,8,1,6.0,0,8,1,1004.8,8,1,91,8,1
2016/5/11,21.4,8,1,5.5,0,8,1,997.3,8,1,81,8,1
2016/5/12,21.7,8,1,0,1,8,1,1010.5,8,1,53,8,1
2016/5/13,21.2,8,1,0,1,8,1,1016.1,8,1,62,8,1
2016/5/14,19.8,8,1,0,1,8,1,1020.0,8,1,60,8,1
2016/5/15,17.6,8,1,0,1,8,1,1018.9,8,1,63,8,1
2016/5/16,19.0,8,1,0,1,8,1,1011.9,8,1,69,8,1
2016/5/17,18.3,8,1,31.5,0,8,1,1009.0,8,1,95,8,1
2016/5/18,20.0,8,1,0,1,8,1,1015.2,8,1,51,8,1
2016/5/19,19.3,8,1,0,1,8,1,1018.2,8,1,49,8,1
2016/5/20,17.2,8,1,0,1,8,1,1017.8,8,1,63,8,1
2016/5/21,19.1,8,1,0.0,0,8,1,1014.3,8,1,63,8,1
2016/5/22,22.4,8,1,0,1,8,1,1013.7,8,1,48,8,1
2016/5/23,23.5,8,1,0,1,8,1,1011.3,8,1,45,8,1
2016/5/24,23.4,8,1,0,1,8,1,1010.5,8,1,53,8,1
2016/5/25,22.2,8,1,0.0,0,8,1,1010.8,8,1,70,8,1
2016/5/26,23.0,8,1,0,1,8,1,1008.4,8,1,74,8,1
2016/5/27,19.4,8,1,36.5,0,8,1,1006.1,8,1,90,8,1
2016/5/28,19.3,8,1,0,1,8,1,1005.9,8,1,80,8,1
2016/5/29,21.7,8,1,0.0,0,8,1,1005.1,8,1,71,8,1
2016/5/30,17.4,8,1,23.0,0,8,1,1004.5,8,1,92,8,1
2016/5/31,20.4,8,1,0,1,8,1,1001.6,8,1,79,8,1
2016/6/1,21.5,8,1,0,1,8,1,997.7,8,1,53,8,1
2016/6/2,20.7,8,1,0,1,8,1,1001.9,8,1,33,8,1
2016/6/3,19.4,8,1,0,1,8,1,1010.0,8,1,49,8,1
2016/6/4,21.7,8,1,0.0,0,8,1,1009.4,8,1,63,8,1
2016/6/5,19.3,8,1,3.0,0,8,1,1008.5,8,1,78,8,1
2016/6/6,20.0,8,1,0,1,8,1,1013.3,8,1,76,8,1
2016/6/7,19.6,8,1,0.5,0,8,1,1012.5,8,1,83,8,1
2016/6/8,21.9,8,1,0.0,0,8,1,1011.0,8,1,72,8,1
2016/6/9,21.2,8,1,6.5,0,8,1,1008.1,8,1,97,8,1
2016/6/10,23.5,8,1,0,1,8,1,1010.3,8,1,70,8,1
2016/6/11,23.5,8,1,0,1,8,1,1012.7,8,1,65,8,1
2016/6/12,23.9,8,1,0.0,0,8,1,1009.4,8,1,70,8,1
2016/6/13,19.8,8,1,98.5,0,8,1,997.8,8,1,98,8,1
2016/6/14,22.2,8,1,0,1,8,1,1000.9,8,1,70,8,1
2016/6/15,20.8,8,1,0.0,0,8,1,1007.3,8,1,81,8,1
2016/6/16,22.1,8,1,7.5,0,8,1,1003.6,8,1,83,8,1
2016/6/17,24.2,8,1,2.5,0,8,1,1000.7,8,1,80,8,1
2016/6/18,26.7,8,1,0,1,8,1,1009.9,8,1,50,8,1
2016/6/19,24.3,8,1,5.0,0,8,1,1010.8,8,1,71,8,1
2016/6/20,24.3,8,1,4.0,0,8,1,1004.2,8,1,82,8,1
2016/6/21,22.7,8,1,10.0,0,8,1,1004.7,8,1,88,8,1
2016/6/22,22.7,8,1,0.5,0,8,1,1006.2,8,1,88,5,1
2016/6/23,23.0,8,1,9.5,0,8,1,1000.4,8,1,85,4,1
2016/6/24,22.7,8,1,1.5,0,8,1,1004.0,8,1,84,8,1
2016/6/25,25.4,8,1,1.0,0,8,1,996.1,8,1,79,8,1
2016/6/26,25.5,8,1,0,1,8,1,1002.4,8,1,61,8,1
2016/6/27,24.4,8,1,0,1,8,1,1010.9,8,1,66,8,1
2016/6/28,19.1,8,1,23.0,0,8,1,1009.8,8,1,95,8,1
2016/6/29,21.5,8,1,0.5,0,8,1,1012.1,8,1,87,8,1
2016/6/30,23.0,8,1,1.0,0,8,1,1010.0,8,1,89,8,1
