,気温(℃),降水量(mm),現地気圧(hPa),相対湿度(％)
1,5.3,0.0,1003.5,68.0
2,4.5,0.0,1004.0,69.0
3,3.5,0.0,1003.3,74.0
4,5.7,0.0,1002.4,62.0
5,6.5,0.0,1001.9,57.0
6,7.2,0.0,1001.9,48.0
7,7.2,0.0,1001.8,48.0
8,8.0,0.0,1001.8,46.0
9,9.4,0.0,1001.9,44.0
10,11.3,0.0,1001.7,41.0
11,12.6,0.0,1000.3,39.0
12,14.3,0.0,998.8,37.0
13,14.8,0.0,998.1,37.0
14,15.4,0.0,997.8,36.0
15,14.8,0.0,998.2,35.0
16,14.3,0.0,998.8,36.0
17,13.5,0.0,1000.0,34.0
18,11.9,0.0,1001.1,38.0
19,11.1,0.0,1001.9,40.0
20,8.6,0.0,1002.4,49.0
21,7.0,0.0,1002.2,55.0
22,6.4,0.0,1002.1,58.0
23,8.6,0.0,1002.5,48.0
24,8.0,0.0,1002.5,47.0
25,7.5,0.0,1003.1,50.0
26,6.7,0.0,1003.3,54.0
27,4.2,0.0,1003.2,65.0
28,3.4,0.0,1002.7,71.0
29,3.5,0.0,1002.6,71.0
30,3.4,0.0,1003.0,71.0
31,3.7,0.0,1003.5,72.0
32,5.0,0.0,1004.6,69.0
33,8.0,0.0,1005.9,54.0
34,8.4,0.0,1007.0,49.0
35,10.2,0.0,1006.8,42.0
36,11.4,0.0,1006.6,36.0
37,11.6,0.0,1006.7,33.0
38,11.3,0.0,1007.3,30.0
39,10.7,0.0,1008.3,30.0
40,10.0,0.0,1009.0,31.0
41,8.7,0.0,1010.0,32.0
42,8.1,0.0,1010.9,33.0
43,7.3,0.0,1011.8,35.0
44,6.8,0.0,1012.3,35.0
45,6.3,0.0,1012.8,36.0
46,6.3,0.0,1013.2,36.0
47,6.1,0.0,1013.6,37.0
48,5.8,0.0,1013.7,39.0
49,5.5,0.0,1013.8,40.0
50,5.1,0.0,1013.6,42.0
51,5.2,0.0,1013.7,42.0
52,4.9,0.0,1013.3,43.0
53,4.8,0.0,1013.2,44.0
54,4.2,0.0,1013.7,45.0
55,4.1,0.0,1014.0,45.0
56,4.3,0.0,1014.2,45.0
57,4.7,0.0,1014.6,45.0
58,5.1,0.0,1014.6,42.0
59,5.7,0.0,1013.4,41.0
60,5.9,0.0,1011.8,40.0
61,7.1,0.0,1010.7,36.0
62,7.6,0.0,1009.8,36.0
63,8.4,0.0,1009.4,36.0
64,8.4,0.0,1009.3,37.0
65,7.7,0.0,1009.2,40.0
66,7.3,0.0,1009.2,43.0
67,7.1,0.0,1009.4,46.0
68,6.2,0.0,1008.0,52.0
69,6.8,0.0,1008.0,48.0
70,6.2,0.0,1007.7,48.0
71,4.9,0.0,1006.8,57.0
72,4.1,0.0,1006.6,59.0
73,4.5,0.0,1005.7,58.0
74,3.6,0.0,1006.3,61.0
75,3.7,0.0,1005.5,63.0
76,3.5,0.0,1004.8,63.0
77,2.6,0.0,1004.8,68.0
78,2.6,0.0,1005.4,70.0
79,2.8,0.0,1005.5,69.0
80,4.8,0.0,1005.5,63.0
81,6.5,0.0,1005.6,53.0
82,6.1,0.0,1005.8,57.0
83,7.3,0.0,1004.8,47.0
84,9.4,0.0,1003.8,44.0
85,10.3,0.0,1003.2,44.0
86,11.5,0.0,1003.6,41.0
87,11.2,0.0,1004.0,38.0
88,10.6,0.0,1005.0,34.0
89,9.8,0.0,1005.6,34.0
90,8.8,0.0,1006.3,33.0
91,7.8,0.0,1007.1,32.0
92,7.0,0.0,1007.3,35.0
93,6.4,0.0,1007.9,38.0
94,5.7,0.0,1008.3,39.0
95,5.3,0.0,1008.5,38.0
96,5.2,0.0,1008.7,37.0
97,4.8,0.0,1009.1,37.0
98,4.5,0.0,1009.5,40.0
99,4.3,0.0,1009.9,39.0
100,4.2,0.0,1010.2,40.0
101,4.2,0.0,1010.6,40.0
102,4.1,0.0,1011.7,41.0
103,4.0,0.0,1012.4,41.0
