,年月日時,気温(℃),降水量(mm),現地気圧(hPa),相対湿度(％)
1,2016/10/1 1:00:00,20.6,0.0,1014.3,82.0
2,2016/10/1 2:00:00,19.8,0.0,1013.8,88.0
3,2016/10/1 3:00:00,19.3,0.0,1013.9,91.0
4,2016/10/1 4:00:00,19.5,0.0,1014.3,87.0
5,2016/10/1 5:00:00,18.1,0.5,1014.8,96.0
6,2016/10/1 6:00:00,17.8,0.5,1014.9,95.0
7,2016/10/1 7:00:00,17.7,0.5,1015.6,98.0
8,2016/10/1 8:00:00,18.2,0.0,1016.0,96.0
9,2016/10/1 9:00:00,18.8,0.0,1016.1,89.0
10,2016/10/1 10:00:00,19.5,0.0,1016.3,89.0
11,2016/10/1 11:00:00,20.1,0.0,1016.3,90.0
12,2016/10/1 12:00:00,20.3,0.0,1016.2,84.0
13,2016/10/1 13:00:00,19.8,0.0,1016.1,89.0
14,2016/10/1 14:00:00,20.5,0.0,1015.8,88.0
15,2016/10/1 15:00:00,20.8,0.0,1015.6,87.0
16,2016/10/1 16:00:00,20.7,0.0,1015.8,85.0
17,2016/10/1 17:00:00,20.4,0.0,1016.3,89.0
18,2016/10/1 18:00:00,20.2,0.0,1016.6,91.0
19,2016/10/1 19:00:00,19.6,0.0,1017.0,92.0
20,2016/10/1 20:00:00,20.1,0.0,1017.2,84.0
21,2016/10/1 21:00:00,20.5,0.0,1016.9,81.0
22,2016/10/1 22:00:00,20.7,0.0,1016.5,78.0
23,2016/10/1 23:00:00,20.2,0.0,1016.4,79.0
24,2016/10/2 00:00:00,20.5,0.0,1016.2,78.0
25,2016/10/2 1:00:00,20.1,0.0,1015.8,81.0
26,2016/10/2 2:00:00,19.3,0.0,1015.6,85.0
27,2016/10/2 3:00:00,18.8,0.0,1015.7,90.0
28,2016/10/2 4:00:00,19.2,0.0,1016.0,90.0
29,2016/10/2 5:00:00,19.3,0.0,1015.8,90.0
30,2016/10/2 6:00:00,19.3,0.0,1016.1,91.0
31,2016/10/2 7:00:00,21.2,0.0,1016.5,82.0
32,2016/10/2 8:00:00,22.4,0.0,1016.9,77.0
33,2016/10/2 9:00:00,23.7,0.0,1016.9,69.0
34,2016/10/2 10:00:00,24.6,0.0,1016.4,67.0
35,2016/10/2 11:00:00,25.7,0.0,1015.8,65.0
36,2016/10/2 12:00:00,27.0,0.0,1015.2,66.0
37,2016/10/2 13:00:00,26.6,0.0,1014.6,63.0
38,2016/10/2 14:00:00,27.1,0.0,1014.4,64.0
39,2016/10/2 15:00:00,26.9,0.0,1014.4,63.0
40,2016/10/2 16:00:00,26.0,0.0,1014.6,67.0
41,2016/10/2 17:00:00,24.3,0.0,1015.0,76.0
42,2016/10/2 18:00:00,23.2,0.0,1015.4,82.0
43,2016/10/2 19:00:00,23.3,0.0,1016.0,84.0
44,2016/10/2 20:00:00,23.5,0.0,1016.2,85.0
45,2016/10/2 21:00:00,23.3,0.0,1016.0,82.0
46,2016/10/2 22:00:00,23.5,0.0,1016.1,82.0
47,2016/10/2 23:00:00,23.2,0.0,1015.5,83.0
48,2016/10/3 00:00:00,22.3,0.0,1015.0,90.0
49,2016/10/3 1:00:00,22.1,0.0,1014.9,94.0
50,2016/10/3 2:00:00,21.6,0.0,1014.2,98.0
51,2016/10/3 3:00:00,21.9,0.0,1013.6,97.0
52,2016/10/3 4:00:00,22.0,0.0,1013.2,96.0
53,2016/10/3 5:00:00,21.9,0.0,1013.2,97.0
54,2016/10/3 6:00:00,22.2,0.0,1013.3,96.0
55,2016/10/3 7:00:00,22.7,0.0,1013.1,94.0
56,2016/10/3 8:00:00,23.4,0.0,1012.9,91.0
57,2016/10/3 9:00:00,24.3,0.0,1012.7,88.0
58,2016/10/3 10:00:00,23.7,0.0,1012.2,96.0
59,2016/10/3 11:00:00,25.2,0.0,1011.5,90.0
60,2016/10/3 12:00:00,25.2,0.0,1010.9,91.0
61,2016/10/3 13:00:00,25.8,0.5,1009.9,93.0
62,2016/10/3 14:00:00,26.0,0.0,1009.2,88.0
63,2016/10/3 15:00:00,25.3,0.0,1009.2,88.0
64,2016/10/3 16:00:00,24.4,0.5,1009.3,87.0
65,2016/10/3 17:00:00,21.8,0.0,1009.1,88.0
66,2016/10/3 18:00:00,21.1,0.5,1008.9,96.0
67,2016/10/3 19:00:00,20.7,0.5,1008.2,98.0
68,2016/10/3 20:00:00,20.8,0.0,1008.4,98.0
69,2016/10/3 21:00:00,20.7,0.0,1008.0,99.0
70,2016/10/3 22:00:00,20.3,0.0,1007.4,100.0
71,2016/10/3 23:00:00,20.3,0.0,1007.0,100.0
72,2016/10/4 00:00:00,20.5,0.0,1006.9,100.0
73,2016/10/4 1:00:00,19.9,0.0,1007.2,100.0
74,2016/10/4 2:00:00,19.9,0.0,1007.7,100.0
75,2016/10/4 3:00:00,20.2,0.0,1007.6,100.0
76,2016/10/4 4:00:00,20.4,0.0,1007.2,100.0
77,2016/10/4 5:00:00,20.1,0.0,1007.7,100.0
78,2016/10/4 6:00:00,20.3,0.0,1008.4,100.0
79,2016/10/4 7:00:00,21.0,0.0,1008.8,98.0
80,2016/10/4 8:00:00,23.4,0.0,1009.5,84.0
81,2016/10/4 9:00:00,26.9,0.0,1009.6,69.0
82,2016/10/4 10:00:00,27.9,0.0,1009.1,62.0
83,2016/10/4 11:00:00,29.9,0.0,1008.7,56.0
84,2016/10/4 12:00:00,31.4,0.0,1008.6,49.0
85,2016/10/4 13:00:00,31.6,0.0,1008.7,46.0
86,2016/10/4 14:00:00,30.4,0.0,1008.8,47.0
87,2016/10/4 15:00:00,28.6,0.0,1009.1,57.0
88,2016/10/4 16:00:00,28.1,0.0,1009.6,54.0
89,2016/10/4 17:00:00,26.3,0.0,1010.6,69.0
90,2016/10/4 18:00:00,25.3,0.0,1011.6,78.0
91,2016/10/4 19:00:00,25.0,0.0,1012.5,78.0
92,2016/10/4 20:00:00,24.2,0.0,1013.6,62.0
93,2016/10/4 21:00:00,23.1,0.0,1014.7,66.0
94,2016/10/4 22:00:00,25.0,0.0,1015.1,69.0
95,2016/10/4 23:00:00,24.5,0.0,1015.4,72.0
96,2016/10/5 00:00:00,23.9,0.0,1015.5,77.0
97,2016/10/5 1:00:00,23.2,0.0,1015.6,81.0
98,2016/10/5 2:00:00,22.5,0.0,1015.5,85.0
99,2016/10/5 3:00:00,22.3,0.0,1015.6,83.0
100,2016/10/5 4:00:00,22.1,0.0,1015.9,85.0
101,2016/10/5 5:00:00,21.7,0.0,1016.0,87.0
102,2016/10/5 6:00:00,22.3,0.0,1016.1,82.0
103,2016/10/5 7:00:00,22.8,0.0,1016.4,81.0
104,2016/10/5 8:00:00,23.7,0.0,1016.6,79.0
105,2016/10/5 9:00:00,24.0,0.0,1016.6,75.0
106,2016/10/5 10:00:00,24.2,0.0,1016.0,75.0
107,2016/10/5 11:00:00,24.5,0.0,1015.3,78.0
108,2016/10/5 12:00:00,24.4,0.0,1014.6,76.0
109,2016/10/5 13:00:00,24.6,0.0,1013.7,79.0
110,2016/10/5 14:00:00,26.1,0.0,1012.8,77.0
111,2016/10/5 15:00:00,25.8,0.0,1012.2,78.0
112,2016/10/5 16:00:00,25.1,0.0,1011.7,80.0
113,2016/10/5 17:00:00,24.6,0.0,1011.0,84.0
114,2016/10/5 18:00:00,24.0,0.0,1010.4,77.0
