,気温(℃),降水量(mm),現地気圧(hPa),相対湿度(％)
1,5.7,0.0,994.4,54.0
2,6.1,0.0,995.6,51.0
3,5.1,0.0,996.3,47.0
4,4.5,0.0,997.1,48.0
5,4.2,0.0,997.5,44.0
6,3.5,0.0,998.3,49.0
7,3.1,0.0,999.0,48.0
8,3.0,0.0,999.6,47.0
9,5.1,0.0,1000.2,42.0
10,5.1,0.0,1000.5,38.0
11,5.1,0.0,999.8,39.0
12,5.3,0.0,998.6,34.0
13,4.5,0.0,999.0,40.0
14,3.9,0.0,999.1,37.0
15,4.4,0.0,999.2,36.0
16,4.1,0.0,1000.3,35.0
17,3.4,0.0,1001.1,34.0
18,3.0,0.0,1002.4,34.0
19,2.6,0.0,1003.5,34.0
20,2.0,0.0,1004.4,41.0
21,1.6,0.0,1005.0,39.0
22,1.5,0.0,1005.9,36.0
23,1.3,0.0,1006.5,35.0
24,1.0,0.0,1007.2,36.0
25,0.5,0.0,1007.6,36.0
26,0.3,0.0,1008.1,37.0
27,0.7,0.0,1008.5,38.0
28,-0.4,0.0,1008.6,40.0
29,-0.6,0.0,1008.9,42.0
30,-1.8,0.0,1009.2,47.0
31,-1.3,0.0,1009.2,46.0
32,0.3,0.0,1009.9,44.0
33,2.8,0.0,1010.2,32.0
34,3.8,0.0,1010.3,35.0
35,5.4,0.0,1009.2,31.0
36,6.8,0.0,1008.0,24.0
37,7.0,0.0,1006.7,20.0
38,6.7,0.0,1006.4,29.0
39,6.2,0.0,1006.3,26.0
40,5.2,0.0,1006.0,38.0
41,3.7,0.0,1005.7,52.0
42,3.2,0.0,1005.1,56.0
43,2.5,0.0,1005.0,61.0
44,3.6,0.0,1005.1,57.0
45,3.5,0.0,1005.1,46.0
46,3.0,0.0,1005.7,48.0
47,1.8,0.0,1006.3,49.0
48,0.8,0.0,1007.2,61.0
49,1.3,0.0,1007.8,52.0
50,1.8,0.0,1008.4,56.0
51,0.9,0.0,1008.5,56.0
52,0.3,0.0,1008.9,58.0
53,0.0,0.0,1009.9,59.0
54,-0.7,0.0,1011.1,63.0
55,1.3,0.0,1011.8,49.0
56,1.9,0.0,1012.6,44.0
57,4.1,0.0,1013.2,34.0
58,5.6,0.0,1013.5,29.0
59,7.0,0.0,1012.7,27.0
60,7.8,0.0,1012.0,25.0
61,8.5,0.0,1011.2,25.0
62,8.3,0.0,1011.5,23.0
63,7.8,0.0,1012.3,22.0
64,6.5,0.0,1012.7,28.0
65,5.2,0.0,1013.3,37.0
66,4.5,0.0,1013.7,44.0
67,4.2,0.0,1014.0,45.0
68,4.5,0.0,1014.3,39.0
69,4.0,0.0,1014.0,43.0
70,2.5,0.0,1013.9,48.0
71,1.4,0.0,1014.0,52.0
72,2.1,0.0,1013.8,52.0
73,1.1,0.0,1013.4,56.0
74,0.6,0.0,1012.9,58.0
75,1.1,0.0,1012.4,53.0
76,1.4,0.0,1012.3,54.0
77,1.6,0.0,1012.7,55.0
78,1.1,0.0,1012.2,56.0
79,0.8,0.0,1012.0,57.0
80,1.8,0.0,1011.9,56.0
81,3.0,0.0,1012.2,51.0
82,4.1,0.0,1011.5,47.0
83,5.8,0.0,1010.3,39.0
84,8.1,0.0,1008.8,37.0
85,8.6,0.0,1008.0,37.0
86,8.5,0.0,1007.8,38.0
87,8.4,0.0,1007.6,34.0
88,7.3,0.0,1008.0,41.0
89,5.0,0.0,1008.4,49.0
90,4.4,0.0,1008.7,52.0
91,4.5,0.0,1009.1,49.0
92,3.7,0.0,1009.3,57.0
93,4.2,0.0,1009.6,55.0
94,3.5,0.0,1010.1,57.0
95,3.4,0.0,1010.3,62.0
96,2.8,0.0,1010.6,64.0
97,3.0,0.0,1011.0,65.0
98,1.9,0.0,1011.3,68.0
99,2.2,0.0,1011.6,69.0
100,1.9,0.0,1011.9,71.0
101,1.6,0.0,1012.6,71.0
102,2.9,0.0,1013.8,69.0
103,2.6,0.0,1014.5,70.0
104,3.7,0.0,1014.9,67.0
105,6.5,0.0,1015.8,58.0
106,9.1,0.0,1016.0,45.0
107,10.7,0.0,1015.8,41.0
108,12.0,0.0,1014.6,32.0
109,11.8,0.0,1014.0,30.0
110,12.2,0.0,1014.1,32.0
111,11.7,0.0,1014.6,31.0
112,10.6,0.0,1015.2,36.0
113,8.5,0.0,1016.0,50.0
114,7.2,0.0,1017.0,55.0
115,7.0,0.0,1016.7,56.0
116,7.7,0.0,1017.1,56.0
117,7.5,0.0,1016.5,64.0
118,7.4,0.0,1016.0,68.0
119,8.0,0.0,1014.8,64.0
120,8.6,0.0,1013.8,66.0
121,9.3,0.0,1013.5,66.0
122,8.9,0.0,1012.4,69.0
123,9.6,0.0,1011.7,66.0
124,10.2,0.0,1010.2,65.0
125,7.3,0.0,1008.7,66.0
126,11.2,0.0,1007.9,62.0
127,11.4,0.0,1007.1,63.0
128,11.8,0.0,1005.9,60.0
129,12.2,0.0,1004.6,58.0
130,12.7,0.0,1002.4,59.0
131,14.9,0.0,999.9,59.0
132,14.9,0.0,998.2,55.0
133,14.4,0.0,996.8,63.0
134,14.2,0.0,995.6,74.0
135,13.0,1.0,994.6,90.0
136,13.3,4.5,993.0,94.0
137,13.4,1.0,991.6,97.0
138,9.0,0.0,991.9,87.0
139,8.8,0.0,993.1,71.0
140,9.2,0.0,993.4,50.0
141,8.6,0.0,994.3,43.0
142,7.5,0.0,994.8,43.0
143,6.5,0.0,995.5,44.0
144,6.0,0.0,996.2,41.0
145,5.5,0.0,997.1,42.0
146,5.1,0.0,998.1,43.0
147,4.7,0.0,998.3,40.0
148,4.1,0.0,998.5,39.0
149,3.6,0.0,999.1,41.0
150,3.8,0.0,999.7,42.0
151,3.7,0.0,1000.6,41.0
152,4.3,0.0,1001.0,39.0
153,5.0,0.0,1001.2,35.0
154,5.9,0.0,1001.1,33.0
155,6.9,0.0,1000.3,29.0
156,7.5,0.0,999.3,27.0
157,8.4,0.0,998.9,26.0
158,9.8,0.0,998.8,26.0
159,9.5,0.0,999.1,25.0
160,8.5,0.0,999.9,28.0
161,7.2,0.0,1000.7,30.0
162,6.2,0.0,1001.7,30.0
163,5.5,0.0,1001.9,33.0
164,4.3,0.0,1002.4,37.0
165,4.1,0.0,1002.8,39.0
166,4.0,0.0,1003.2,39.0
167,3.9,0.0,1003.5,40.0
168,3.3,0.0,1004.0,43.0
169,2.6,0.0,1004.4,44.0
170,4.2,0.0,1004.8,33.0
171,3.2,0.0,1005.0,35.0
172,3.3,0.0,1005.0,35.0
173,3.0,0.0,1005.2,36.0
174,3.6,0.0,1005.4,35.0
175,4.3,0.0,1006.2,33.0
176,5.2,0.0,1007.0,32.0
177,6.9,0.0,1007.5,29.0
178,8.3,0.0,1007.3,28.0
179,9.4,0.0,1006.4,27.0
180,10.4,0.0,1005.4,23.0
181,10.5,0.0,1004.7,21.0
182,10.6,0.0,1005.3,24.0
183,9.8,0.0,1005.8,26.0
184,8.4,0.0,1006.4,31.0
185,7.3,0.0,1006.8,31.0
186,6.5,0.0,1007.1,33.0
187,5.9,0.0,1007.2,36.0
188,5.3,0.0,1007.3,38.0
189,4.8,0.0,1007.1,41.0
190,5.1,0.0,1007.1,38.0
191,4.7,0.0,1007.3,37.0
192,4.6,0.0,1007.4,34.0
193,5.2,0.0,1007.2,29.0
194,4.8,0.0,1007.7,32.0
195,4.4,0.0,1007.9,36.0
196,4.4,0.0,1008.2,36.0
197,4.9,0.0,1008.3,32.0
198,4.5,0.0,1008.8,34.0
199,4.7,0.0,1009.1,32.0
200,5.2,0.0,1009.4,33.0
201,7.3,0.0,1009.6,26.0
202,8.3,0.0,1009.3,26.0
203,9.4,0.0,1008.3,26.0
204,10.1,0.0,1007.3,24.0
205,10.7,0.0,1006.6,24.0
206,10.6,0.0,1006.8,26.0
207,9.8,0.0,1007.2,23.0
208,8.9,0.0,1007.9,25.0
209,7.5,0.0,1008.4,28.0
210,6.9,0.0,1008.9,30.0
211,6.4,0.0,1009.0,32.0
212,6.0,0.0,1008.9,33.0
213,5.7,0.0,1008.7,35.0
214,5.2,0.0,1008.3,38.0
215,5.1,0.0,1008.0,36.0
216,4.2,0.0,1008.1,40.0
217,3.6,0.0,1008.0,41.0
218,3.9,0.0,1008.1,37.0
219,3.4,0.0,1008.0,38.0
220,3.6,0.0,1007.4,35.0
221,3.0,0.0,1008.0,37.0
222,2.5,0.0,1008.2,39.0
223,2.9,0.0,1008.3,39.0
224,4.0,0.0,1008.9,37.0
225,6.3,0.0,1009.6,29.0
226,8.5,0.0,1009.3,24.0
227,9.7,0.0,1008.4,23.0
228,10.8,0.0,1007.6,20.0
229,10.7,0.0,1007.1,17.0
230,10.7,0.0,1007.0,18.0
231,10.0,0.0,1007.7,18.0
232,9.2,0.0,1008.4,21.0
233,7.7,0.0,1008.7,24.0
234,7.1,0.0,1009.7,26.0
235,6.8,0.0,1010.2,29.0
236,6.1,0.0,1010.5,35.0
237,5.6,0.0,1010.6,36.0
238,5.5,0.0,1010.6,39.0
239,4.4,0.0,1010.3,43.0
240,4.2,0.0,1010.7,48.0
241,4.1,0.0,1010.6,49.0
242,3.8,0.0,1010.9,50.0
243,3.9,0.0,1010.6,50.0
244,2.7,0.0,1010.6,54.0
245,2.3,0.0,1010.9,54.0
246,2.0,0.0,1011.2,55.0
247,0.8,0.0,1011.4,64.0
248,4.2,0.0,1011.6,49.0
249,6.6,0.0,1011.9,41.0
250,8.1,0.0,1011.6,35.0
251,8.3,0.0,1009.8,31.0
252,10.1,0.0,1008.2,35.0
253,9.5,0.0,1006.8,39.0
254,9.8,0.0,1005.6,43.0
255,10.4,0.0,1005.1,44.0
256,10.3,0.0,1004.9,40.0
257,9.3,0.0,1005.2,40.0
258,8.0,0.0,1005.4,42.0
259,7.9,0.0,1005.8,39.0
